x,y,z,Thickness_r1_1,r1P2_1,r1P3_1,Distance_r1_1,Thickness_r1_2,r1P2_2,r1P3_2,Distance_r1_2,Thickness_r1_3,r1P2_3,r1P3_3,Distance_r1_3,Thickness_r1_4,r1P2_4,r1P3_4,Distance_r1_4,Thickness_r1_5,r1P2_5,r1P3_5,Distance_r1_5,Thickness_r1_6,r1P2_6,r1P3_6,Distance_r1_6,Thickness_r1_7,r1P2_7,r1P3_7,Distance_r1_7,Thickness_r1_8,r1P2_8,r1P3_8,Distance_r1_8,Thickness_r1_9,r1P2_9,r1P3_9,Distance_r1_9,Thickness_r1_10,r1P2_10,r1P3_10,Distance_r1_10,Thickness_r2_1,r2P2_1,r2P3_1,Distance_r2_1,Thickness_r2_2,r2P2_2,r2P3_2,Distance_r2_2,Thickness_r2_3,r2P2_3,r2P3_3,Distance_r2_3,Thickness_r2_4,r2P2_4,r2P3_4,Distance_r2_4,Thickness_r2_5,r2P2_5,r2P3_5,Distance_r2_5,Thickness_r2_6,r2P2_6,r2P3_6,Distance_r2_6,Thickness_r2_7,r2P2_7,r2P3_7,Distance_r2_7,Thickness_r2_8,r2P2_8,r2P3_8,Distance_r2_8,Thickness_r2_9,r2P2_9,r2P3_9,Distance_r2_9,Thickness_r2_10,r2P2_10,r2P3_10,Distance_r2_10,A3MS
1038.6,-47.85,534.79,0.756561009,0.4,0.4,1.85E-12,1.031323881,44.8,0.35,1.371191978,6.562970153,44.8,0.35,6.738763996,3.515876868,70,0.3,18.38441661,2.476452829,24,0.136,14.06350745,2.92989739,3.1,0.32,66.04516258,0,1.15,0.43,2.531954987,0,1.15,0.43,10.42184268,2.646,44.8,0.35,,,,,,0.696593175,0.4,0.4,1.83E-12,0.949577322,44.8,0.35,1.262506213,6.04276478,44.8,0.35,6.20462455,3.237195418,70,0.3,32.26404766,2.158130278,24,0.136,3.237195418,13.38040773,3.1,0.32,179.767628,5.327092102,,,18.98154238,2.033853727,3.45,0.3,57.69792117,1.990032543,3.45,0.3,,,,,,82.5285
1051.17,-56.13,518.85,0.820328086,0.4,0.4,2.50E-12,1.105570274,44.8,0.35,1.469905932,7.035447195,44.8,0.35,7.223896674,3.768989569,70,0.3,23.00613577,2.323311529,24,0.136,17.57144037,2.569046306,3.1,0.32,68.76067141,0,1.15,0.43,2.50412346,0,1.15,0.43,6.054425549,4,44.8,0.35,0,2.646,44.8,0.35,,0.711357422,0.4,0.4,1.93E-12,0.958708635,44.8,0.35,1.274646708,5.959245721,44.8,0.35,6.405916789,3.268324892,70,0.3,32.57430476,2.178883262,24,0.136,3.268324892,2.723604077,3.1,0.32,159.3539034,3.236743927,,,51.37879114,27.64609202,3.45,0.3,,,,,,,,,,74.2608
1057.6,-46.16,510.98,0.849931253,0.4,0.4,2.28E-12,1.14603845,44.8,0.35,1.523710211,7.123670817,44.8,0.35,7.65762055,3.90694926,70,0.3,38.38584667,2.471406977,24,0.136,4.593589409,3.252964372,3.1,0.32,71.23109053,0,1.15,0.43,2.50018841,0,1.15,0.43,6.002483881,4,44.8,0.35,0,2.646,44.8,0.35,,0.714499169,0.4,0.4,1.98E-12,0.963423238,44.8,0.35,1.280914987,5.473995673,44.8,0.35,0.175171883,0.547348788,44.8,0.35,2.53998075,0.076635939,44.8,0.35,3.612837144,3.284397404,70,0.3,32.73449412,2.189598269,24,0.136,3.284397404,13.57550927,3.1,0.32,138.9659003,3.195290541,,,41.49520426,1.815466131,3.45,0.3,46.51034815,75.7017
1074.64,-48.03,489.54,0.933295442,0.4,0.4,2.52E-12,1.266629855,44.8,0.35,1.684041966,7.19676054,44.8,0.35,0.230301624,0.719525207,44.8,0.35,3.33944245,0.100754648,44.8,0.35,4.749861956,4.318056324,70,0.3,43.03662803,2.878704216,24,0.136,4.318056324,3.59838027,3.1,0.32,82.43743369,0,1.15,0.43,2.500010982,0,1.15,0.43,9.990209189,0.719871272,0.4,0.4,1.98E-12,0.976979426,44.8,0.35,1.298938555,5.551019468,44.8,0.35,0.177636701,0.554708173,44.8,0.35,2.576062729,0.077714273,44.8,0.35,4.218774796,3.330611681,70,0.3,38.19101394,2.775509734,3.1,0.32,27.91061932,1.65E-12,1.15,0.43,2.799262998,1.47E-12,1.15,0.43,83.77084467,3.089363215,,,37.39814827,68.9922
1093.85,-44.65,465.49,1.043781754,0.4,0.4,3.02E-12,1.415930808,44.8,0.35,1.88254437,8.045061411,44.8,0.35,0.257447875,0.804545947,44.8,0.35,3.732862778,0.11263086,44.8,0.35,6.114246672,4.827036847,70,0.3,47.3049611,3.218024564,24,0.136,9.15928464,14.12460464,3.1,0.32,81.98299403,0,1.15,0.43,2.500010736,0,1.15,0.43,9.980437717,0.732358959,0.4,0.4,1.94E-12,0.993473596,44.8,0.35,1.320868304,6.096315251,44.8,0.35,0.293530437,0.225789454,44.8,0.35,0.045153744,0.079932578,44.8,0.35,6.072830036,3.386841806,70,0.3,16.01597984,2.059631063,24,0.136,6.360726594,2.812037551,3.1,0.32,89.60199585,5.470290049,,,50.00506312,2.529924381,,,9.795807262,63.1138
1111.94,-34.3,442.99,0.977757113,70,0.3,0.177847218,5.68E-14,0.4,0.4,23.83372087,5.333222876,70,0.3,53.17631818,3.55694436,24,0.136,120.3322802,0,1.15,0.43,2.500010406,0,1.15,0.43,9.973183686,2.646000002,44.8,0.35,,,,,,,,,,,,,,0.631114436,70,0.3,0.114794267,1.06E-06,0.4,0.4,0,1.262747526,0.4,0.4,5.68E-14,1.95152054,0.4,0.4,1.147954325,1.364572455,24,0.136,11.34742178,2.101238308,2.4,0,2.35E-13,2.001181282,2.4,0,4.86E-13,1.000591386,2.4,0,3.070314452,8.463441945,3.1,0.32,41.65074925,4.030736137,3.6,0.4,16.17024565,57.6806
1108.17,-26.9,447.88,0.962449964,70,0.3,0.17404395,5.68E-14,0.4,0.4,9.024996654,2.105996624,44.8,0.35,0.284225194,1.638077745,44.8,0.35,10.26859302,5.221318486,70,0.3,52.03914091,3.480878991,24,0.136,117.1630518,0,1.15,0.43,2.500010502,0,1.15,0.43,9.974646566,2.646000003,44.8,0.35,,,,,,0.632457236,70,0.3,0.114369951,0,70,0.3,11.14779161,4.980689737,24,0.136,10.15485393,0.451044484,3.1,0.32,55.33965053,2.719666402,3.6,0.4,13.44790327,2.689416802,,,7.458668705,6.376827378,,,35.96986602,2.317602587,2.1,0.35,5.867738916,8.572628523,2.14,0.34,3.744902135,3.692303173,2.14,0.34,0.547269888,56.9317
1092.68,-32.01,467.22,1.03779292,0.4,0.4,2.80E-12,1.404417482,44.8,0.35,1.867236879,7.979644782,44.8,0.35,0.255354495,0.79784677,44.8,0.35,3.702667025,0.111715027,44.8,0.35,6.064530035,4.787786869,70,0.3,46.92031132,3.191857913,24,0.136,104.3787281,0,1.15,0.43,2.500010761,0,1.15,0.43,9.98108683,2.646000002,44.8,0.35,,0.73321553,0.4,0.4,2.00E-12,0.992241022,44.8,0.35,1.319229541,6.167679989,44.8,0.35,6.629974102,3.382639848,70,0.3,17.48571895,1.935621746,24,0.136,3.351675671,2.576056752,3.1,0.32,90.80538843,2.97620805,,,54.67353367,2.530865173,,,8.374619337,2.010859814,7.63,0.37,46.90839802,2.109953621,7.63,0.37,,62.5514
1070.14,-21.43,495.74,0.9115853,0.4,0.4,2.74E-12,1.2300831,44.8,0.35,1.635451394,6.989108521,44.8,0.35,0.223656607,0.698899115,44.8,0.35,3.242952956,0.097847519,44.8,0.35,4.612811624,4.19556836,70,0.3,41.79276571,4.193465113,24,0.136,85.7956118,0,1.15,0.43,2.500011019,0,1.15,0.43,9.993151596,2.646000001,44.8,0.35,,0.721031178,0.4,0.4,1.98E-12,0.97295148,44.8,0.35,1.293583217,5.528133406,44.8,0.35,0.17690433,0.552907175,44.8,0.35,2.564956005,0.077393868,44.8,0.35,3.648568048,3.316880044,70,0.3,33.05823777,2.211253363,24,0.136,12.56014367,2.763540505,3.1,0.32,10.08773323,0.153522313,1.15,0.43,2.813646825,5.68E-14,1.15,0.43,98.16391099,69.0524
1047.05,-19.01,524.77,0.789870741,0.4,0.4,2.28E-12,1.076853708,44.8,0.35,1.431725953,6.852705414,44.8,0.35,7.036260023,3.671092186,70,0.3,7.044631097,6.13407826,70,0.3,11.98312257,2.819748673,24,0.136,11.20903296,8.069549054,3.1,0.32,63.56161976,0,1.15,0.43,2.510926565,0,1.15,0.43,7.935427185,2.20881353,44.8,0.35,0,0.700674821,0.4,0.4,1.93E-12,0.955250321,44.8,0.35,1.270048723,6.078865682,44.8,0.35,6.241692441,3.256535187,70,0.3,32.45680069,2.171023458,24,0.136,173.2329982,3.919243213,,,32.27281809,1.522563822,3.45,0.3,61.26642474,1.899429291,3.45,0.3,,,,,,,,,,73.2982
1036.16,-19.29,538.45,0.75436567,0.4,0.4,2.30E-12,1.01617313,44.8,0.35,1.351048366,6.466556282,44.8,0.35,6.63976761,3.464226579,70,0.3,18.24492665,2.309484408,24,0.136,13.8569063,2.886855483,3.1,0.32,64.81126103,0,1.15,0.43,2.542905086,0,1.15,0.43,10.56640998,2.646,44.8,0.35,,,,,,0.703431831,0.4,0.4,2.03E-12,0.947562375,44.8,0.35,1.259827249,6.029942388,44.8,0.35,6.191458702,3.23032628,70,0.3,32.19558525,2.153550853,24,0.136,183.4890446,0.286873648,1.15,0.43,14.51911545,4.37444827,,,3.475316461,6.194125586,,,5.989807476,1.502949647,3.45,0.3,66.91112452,1.774555257,3.45,0.3,,77.0613
