Type,Point X,Point Y, Point Z,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance
R1,1012.81,-53.94,567.05,0.677716964,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,15.06491899,4.09465131,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,14.53885072,2.093022427,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,83.17619918,2.646000007,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1023.59,-50.7,553.58,0.705404086,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,15.496889,3.753133256,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,15.86417036,2.180957224,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,7.333017349,5.283629963,A2146801901_701,40000,1.04E-06,3.45,0.3,60.83069672,2.614770328,A2146801901_699,40000,1.04E-06,3.45,0.3,11.6198946,2.646000003,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1038.6,-47.85,534.79,0.756561655,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,37.7371106,2.34386857,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,14.17068933,2.822781388,A2146801901_701,40000,1.04E-06,3.45,0.3,65.94380726,2.53195442,A2146801901_699,40000,1.04E-06,3.45,0.3,10.5231492,2.646000001,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1051.17,-56.13,518.85,0.820328081,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,18.09114981,3.446526483,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,27.33711954,3.034127831,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,13.43089189,2.518964689,A2146801901_701,40000,1.04E-06,3.45,0.3,66.87546993,2.504123461,A2146801901_699,40000,1.04E-06,3.45,0.3,10.15459042,2.646,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1057.6,-46.16,510.98,0.849930834,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,60.04266618,2.210383813,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,7.160381009,3.087127758,A2146801901_701,40000,1.04E-06,3.45,0.3,68.6923224,2.500188428,A2146801901_699,40000,1.04E-06,3.45,0.3,10.10249037,2.646,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1074.64,-48.03,489.54,0.933293795,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,20.7266338,4.318048707,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,41.59720255,2.878699138,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,7.196747846,3.598373923,A2146801901_701,40000,1.04E-06,3.45,0.3,79.45887316,2.50001099,A2146801901_699,40000,1.04E-06,3.45,0.3,10.09020882,2.646000002,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1093.85,-44.65,465.49,1.043777722,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,24.77869342,4.827018199,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,44.89126925,3.218012132,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,18.31282887,4.971054296,A2146801901_701,40000,1.04E-06,3.45,0.3,81.88330561,2.500010817,A2146801901_699,40000,1.04E-06,3.45,0.3,10.08043647,2.646000006,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1112.19,-46.33,442.43,1.158698801,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,25.68141299,5.350294373,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,51.54116912,3.566862915,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,8.917157288,18.54768716,A2146801901_701,40000,1.04E-06,3.45,0.3,28.28599686,0.318518882,A2149013802_1,46112,9.10E-07,3.9,0.38,0.175185385,2.12345921,A2149013802_1,46112,9.10E-07,3.9,0.38,62.02707252,2.50001054,A2146801901_699,40000,1.04E-06,3.45,0.3,10.07299659,2.64600001,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1111.94,-34.3,442.99,1.15559825,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,25.60986461,5.33538846,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,51.3975755,3.55692564,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,55.65619669,0.318304453,A2149013802_1,46112,9.10E-07,3.9,0.38,0.175067449,2.122029685,A2149013802_1,46112,9.10E-07,3.9,0.38,1.402652603,0.309905542,A2149013802_1,46112,9.10E-07,3.9,0.38,1.677384012,0.849714789,A2149013802_1,46112,9.10E-07,3.9,0.38,57.72148482,2.500010528,A2146801901_699,40000,1.04E-06,3.45,0.3,10.07318193,2.646000009,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1108.17,-26.9,447.88,1.153893443,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,25.04481874,5.22129647,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,50.29848933,3.480864314,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,53.00497108,0.316662617,A2149013802_1,46112,9.10E-07,3.9,0.38,0.17416444,2.111084116,A2149013802_1,46112,9.10E-07,3.9,0.38,1.259472059,0.308745255,A2149013802_1,46112,9.10E-07,3.9,0.38,59.88831277,2.50001059,A2146801901_699,40000,1.04E-06,3.45,0.3,10.07464523,2.646000008,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
