num,Type,PointX,PointY, PointZ,Distance0,Thickness1,P1_1,P2_1,P3_1,Distance1,Thickness2,P1_2,P2_2,P3_2,Distance2,Thickness3,P1_3,P2_3,P3_3,Distance3,Thickness4,P1_4,P2_4,P3_4,Distance4,Thickness5,P1_5,P2_5,P3_5,Distance5,Thickness6,P1_6,P2_6,P3_6,Distance6,Thickness7,P1_7,P2_7,P3_7,Distance7,Thickness8,P1_8,P2_8,P3_8,Distance8,Thickness9,P1_9,P2_9,P3_9,Distance_9,Thickness10,P1_10,P2_10,P3_10,Distance10,Thickness11,P1_11,P2_11,P3_11,Distance11,Thickness12,P1_12,P2_12,P3_12,Distance12,Thickness13,P1_13,P2_13,P3_13,Distance13,Thickness14,P1_14,P2_14,P3_14,Distance14,Thickness15,P1_15,P2_15,P3_15,a3ms
34,R1,855.86,167.26,557.85,0.00,0.65,2.44,71.70,0.21,2.92,5.39,2.44,71.70,0.21,22.23,2.55,2.44,71.70,0.21,11.72,2.20,1.03,2.95,0.35,3.02,2.51,1.80,45.00,0.35,92.43,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.63
35,R1,847.74,-79.18,594.19,0.00,0.67,2.44,71.70,0.21,6.97,1.85,2.44,71.70,0.21,27.88,2.57,2.44,71.70,0.21,12.13,2.57,1.80,45.00,0.35,35.93,1.51,0.95,1.15,0.43,44.02,1.50,0.95,1.15,0.43,8.22,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.64
36,R1,847.68,-62.14,597.60,0.00,0.67,2.44,71.70,0.21,7.00,1.86,2.44,71.70,0.21,28.02,2.58,2.44,71.70,0.21,6.82,2.27,1.03,2.95,0.35,3.10,2.58,1.80,45.00,0.35,36.61,1.51,0.95,1.15,0.43,44.18,1.50,0.95,1.15,0.43,8.22,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.36
37,R1,848.39,-41.70,594.19,0.00,0.67,2.44,71.70,0.21,6.97,1.85,2.44,71.70,0.21,27.87,2.57,2.44,71.70,0.21,12.13,2.57,1.80,45.00,0.35,36.57,1.51,0.95,1.15,0.43,44.01,1.50,0.95,1.15,0.43,8.22,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.61
38,R1,848.79,-18.99,594.19,0.00,0.67,2.44,71.70,0.21,6.96,1.85,2.44,71.70,0.21,27.87,2.57,2.44,71.70,0.21,12.12,2.57,1.80,45.00,0.35,36.97,1.51,0.95,1.15,0.43,44.00,1.50,0.95,1.15,0.43,8.22,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.52
39,R1,849.11,6.00,595.32,0.00,0.67,2.44,71.70,0.21,6.97,1.85,2.44,71.70,0.21,27.91,2.57,2.44,71.70,0.21,6.79,2.26,1.03,2.95,0.35,3.09,2.57,1.80,45.00,0.35,37.52,1.51,0.95,1.15,0.43,44.05,1.50,0.95,1.15,0.43,8.22,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.31
40,R1,849.50,28.71,595.32,0.00,0.67,2.44,71.70,0.21,6.97,1.85,2.44,71.70,0.21,12.47,7.16,2.44,71.70,0.21,17.88,2.01,1.03,2.95,0.35,3.09,2.57,1.80,45.00,0.35,37.91,1.51,0.95,1.15,0.43,44.04,1.50,0.95,1.15,0.43,8.22,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.37
41,R1,850.26,58.24,593.05,0.00,0.67,2.44,71.70,0.21,6.95,1.85,2.44,71.70,0.21,42.47,2.56,1.80,45.00,0.35,38.17,1.51,0.95,1.15,0.43,43.93,1.50,0.95,1.15,0.43,8.23,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.54
42,R1,850.25,78.68,596.46,0.00,0.66,2.44,71.70,0.21,6.98,1.85,2.44,71.70,0.21,27.93,2.57,2.44,71.70,0.21,6.80,2.27,1.03,2.95,0.35,3.09,2.57,1.80,45.00,0.35,38.90,1.51,0.95,1.15,0.43,44.08,1.50,0.95,1.15,0.43,8.22,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.71
43,R1,850.49,99.12,597.60,0.00,0.67,2.44,71.70,0.21,6.99,1.86,2.44,71.70,0.21,27.97,2.58,2.44,71.70,0.21,6.81,2.27,1.03,2.95,0.35,3.09,2.58,1.80,45.00,0.35,39.38,1.51,0.95,1.15,0.43,44.13,1.50,0.95,1.15,0.43,8.22,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.82
44,R1,850.63,121.84,600.09,0.00,0.68,2.44,71.70,0.21,7.02,1.86,2.44,71.70,0.21,28.07,2.59,2.44,71.70,0.21,6.83,2.28,1.03,2.95,0.35,46.78,1.71,0.95,1.15,0.43,24.06,4.75,0.95,1.15,0.43,23.95,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.16
45,R1,851.31,145.69,597.60,0.00,0.68,2.44,71.70,0.21,6.99,1.86,2.44,71.70,0.21,27.96,2.58,2.44,71.70,0.21,5.49,2.27,7.85,210.00,0.30,0.00,1.55,7.85,210.00,0.30,100.97,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.29
46,R1,845.11,-79.18,619.17,0.00,0.70,2.44,71.70,0.21,7.28,1.93,2.44,71.70,0.21,19.48,2.69,2.44,71.70,0.21,16.77,2.36,1.03,2.95,0.35,3.22,2.69,1.80,45.00,0.35,39.50,1.52,0.95,1.15,0.43,45.24,1.51,0.95,1.15,0.43,8.46,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.20
47,R1,845.39,-56.46,620.31,0.00,0.70,2.44,71.70,0.21,7.30,1.94,2.44,71.70,0.21,19.52,3.36,2.44,71.70,0.21,16.13,2.37,1.03,2.95,0.35,3.12,2.50,1.80,45.00,0.35,40.40,1.52,0.95,1.15,0.43,45.28,1.51,0.95,1.15,0.43,8.48,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.26
48,R1,846.22,-36.02,615.77,0.00,0.69,2.44,71.70,0.21,7.23,1.92,2.44,71.70,0.21,19.33,2.67,2.44,71.70,0.21,16.64,2.35,1.03,2.95,0.35,3.20,2.67,1.80,45.00,0.35,39.66,1.52,0.95,1.15,0.43,45.05,1.51,0.95,1.15,0.43,8.39,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.90
49,R1,846.44,-9.90,618.04,0.00,0.70,2.44,71.70,0.21,7.26,1.93,2.44,71.70,0.21,19.41,2.68,2.44,71.70,0.21,16.71,2.36,1.03,2.95,0.35,3.21,2.68,1.80,45.00,0.35,40.49,1.52,0.95,1.15,0.43,45.15,1.51,0.95,1.15,0.43,8.43,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.06
50,R1,847.10,20.76,616.90,0.00,0.70,2.44,71.70,0.21,7.24,1.92,2.44,71.70,0.21,19.35,2.67,2.44,71.70,0.21,22.21,2.67,1.80,45.00,0.35,40.82,1.52,0.95,1.15,0.43,45.08,1.51,0.95,1.15,0.43,8.41,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.99
51,R1,847.11,35.53,619.17,0.00,0.69,2.44,71.70,0.21,7.27,1.93,2.44,71.70,0.21,13.00,0.56,2.44,71.70,0.21,7.10,4.01,2.44,71.70,0.21,63.90,1.52,0.95,1.15,0.43,45.19,1.51,0.95,1.15,0.43,8.45,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.55
52,R1,847.47,55.97,619.17,0.00,0.70,2.44,71.70,0.21,7.27,1.93,2.44,71.70,0.21,13.00,0.62,2.44,71.70,0.21,75.29,1.52,0.95,1.15,0.43,45.18,1.51,0.95,1.15,0.43,8.44,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.61
53,R1,847.75,71.87,619.17,0.00,0.70,2.44,71.70,0.21,7.26,1.93,2.44,71.70,0.21,29.07,2.68,2.44,71.70,0.21,7.07,2.36,1.03,2.95,0.35,3.22,2.68,1.80,45.00,0.35,42.09,1.52,0.95,1.15,0.43,45.17,1.51,0.95,1.15,0.43,8.44,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.49
54,R1,847.98,92.31,620.41,0.00,0.70,2.44,71.70,0.21,7.28,1.93,2.44,71.70,0.21,29.13,2.69,2.44,71.70,0.21,7.09,2.36,1.03,2.95,0.35,3.22,2.69,1.80,45.00,0.35,42.66,1.52,0.95,1.15,0.43,45.23,1.51,0.95,1.15,0.43,8.46,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.52
55,R1,848.32,111.62,620.37,0.00,0.70,2.44,71.70,0.21,7.28,1.93,2.44,71.70,0.21,29.12,2.68,2.44,71.70,0.21,7.09,2.36,1.03,2.95,0.35,3.22,2.68,1.80,45.00,0.35,42.98,1.52,0.95,1.15,0.43,44.55,1.63,0.95,1.15,0.43,9.01,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.44
56,R1,848.44,132.06,622.58,0.00,0.70,2.44,71.70,0.21,7.31,1.94,2.44,71.70,0.21,29.25,2.70,2.44,71.70,0.21,6.76,2.69,1.03,2.95,0.35,106.55,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.59
57,R1,842.60,-79.18,643.02,0.00,0.73,2.44,71.70,0.21,7.71,2.05,2.44,71.70,0.21,30.85,2.84,2.44,71.70,0.21,7.51,2.50,1.03,2.95,0.35,3.41,2.84,1.80,45.00,0.35,44.32,1.55,0.95,1.15,0.43,46.48,1.55,0.95,1.15,0.43,9.15,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.55
58,R1,842.86,-57.60,644.16,0.00,0.74,2.44,71.70,0.21,7.73,2.05,2.44,71.70,0.21,30.93,2.85,2.44,71.70,0.21,7.53,2.51,1.03,2.95,0.35,3.42,2.85,1.80,45.00,0.35,44.94,1.55,0.95,1.15,0.43,46.53,1.55,0.95,1.15,0.43,9.18,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.66
59,R1,843.82,-37.16,638.48,0.00,0.73,2.44,71.70,0.21,7.61,2.02,2.44,71.70,0.21,30.46,2.81,2.44,71.70,0.21,7.41,2.47,1.03,2.95,0.35,3.37,2.81,1.80,45.00,0.35,44.04,1.54,0.95,1.15,0.43,46.19,1.54,0.95,1.15,0.43,8.97,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.84
60,R1,843.70,-16.71,643.02,0.00,0.74,2.44,71.70,0.21,7.70,2.04,2.44,71.70,0.21,30.80,2.84,2.44,71.70,0.21,7.49,2.50,1.03,2.95,0.35,3.41,2.84,1.80,45.00,0.35,45.39,1.55,0.95,1.15,0.43,46.43,1.55,0.95,1.15,0.43,9.12,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.92
61,R1,843.95,4.86,644.16,0.00,0.74,2.44,71.70,0.21,7.71,2.05,2.44,71.70,0.21,20.63,2.85,2.44,71.70,0.21,17.76,2.50,1.03,2.95,0.35,3.41,2.85,1.80,45.00,0.35,46.02,1.55,0.95,1.15,0.43,46.49,1.55,0.95,1.15,0.43,9.15,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.64
62,R1,844.62,23.03,640.78,0.00,0.73,2.44,71.70,0.21,7.64,2.03,2.44,71.70,0.21,30.59,2.82,2.44,71.70,0.21,61.71,1.54,0.95,1.15,0.43,46.28,1.54,0.95,1.15,0.43,9.03,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.07
63,R1,844.65,44.61,644.16,0.00,0.74,2.44,71.70,0.21,7.71,2.05,2.44,71.70,0.21,30.83,2.84,2.44,71.70,0.21,62.96,1.55,0.95,1.15,0.43,46.46,1.55,0.95,1.15,0.43,9.14,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.60
