num,Type,PointX,PointY, PointZ,Distance0,Thickness1,P1_1,P2_1,P3_1,Distance1,Thickness2,P1_2,P2_2,P3_2,Distance2,Thickness3,P1_3,P2_3,P3_3,Distance3,Thickness4,P1_4,P2_4,P3_4,Distance4,Thickness5,P1_5,P2_5,P3_5,Distance5,Thickness6,P1_6,P2_6,P3_6,Distance6,Thickness7,P1_7,P2_7,P3_7,Distance7,Thickness8,P1_8,P2_8,P3_8,Distance8,Thickness9,P1_9,P2_9,P3_9,Distance_9,Thickness10,P1_10,P2_10,P3_10,Distance10,Thickness11,P1_11,P2_11,P3_11,Distance11,Thickness12,P1_12,P2_12,P3_12,Distance12,Thickness13,P1_13,P2_13,P3_13,Distance13,Thickness14,P1_14,P2_14,P3_14,Distance14,Thickness15,P1_15,P2_15,P3_15,a3ms
64,R1,844.94,61.65,644.16,0.00,0.73,2.44,71.70,0.21,7.70,2.05,2.44,71.70,0.21,30.82,2.84,2.44,71.70,0.21,63.25,1.55,0.95,1.15,0.43,46.45,1.55,0.95,1.15,0.43,9.13,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.75
65,R1,845.50,86.63,643.02,0.00,0.74,2.44,71.70,0.21,7.67,2.04,2.44,71.70,0.21,30.71,2.83,2.44,71.70,0.21,7.47,2.49,1.03,2.95,0.35,3.40,2.83,1.80,45.00,0.35,47.17,1.55,0.95,1.15,0.43,46.37,1.55,0.95,1.15,0.43,9.08,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.96
66,R1,845.48,105.94,646.43,0.00,0.74,2.44,71.70,0.21,7.74,2.05,2.44,71.70,0.21,30.96,2.85,2.44,71.70,0.21,7.53,2.51,1.03,2.95,0.35,3.42,2.85,1.80,45.00,0.35,48.28,1.55,0.95,1.15,0.43,46.55,1.55,0.95,1.15,0.43,9.19,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.90
67,R1,840.66,-81.45,661.19,0.00,0.78,2.44,71.70,0.21,8.11,2.15,2.44,71.70,0.21,32.43,2.99,2.44,71.70,0.21,7.89,2.63,1.03,2.95,0.35,3.59,2.99,1.80,45.00,0.35,48.52,1.59,0.95,1.15,0.43,47.70,1.59,0.95,1.15,0.43,9.89,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.46
68,R1,840.91,-59.87,662.33,0.00,0.78,2.44,71.70,0.21,8.13,2.16,2.44,71.70,0.21,32.51,3.00,2.44,71.70,0.21,7.91,2.64,1.03,2.95,0.35,3.60,3.00,1.80,45.00,0.35,49.18,1.59,0.95,1.15,0.43,47.76,1.59,0.95,1.15,0.43,9.93,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.49
69,R1,841.51,-39.43,660.06,0.00,0.78,2.44,71.70,0.21,8.07,2.14,2.44,71.70,0.21,32.28,2.98,2.44,71.70,0.21,7.85,2.62,1.03,2.95,0.35,3.57,2.98,1.80,45.00,0.35,48.98,1.59,0.95,1.15,0.43,47.57,1.58,0.95,1.15,0.43,9.82,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.85
70,R1,841.47,-21.26,663.46,0.00,0.78,2.44,71.70,0.21,8.14,2.16,2.44,71.70,0.21,32.57,3.00,2.44,71.70,0.21,7.93,2.64,1.03,2.95,0.35,3.60,3.00,1.80,45.00,0.35,50.13,1.59,0.95,1.15,0.43,47.81,1.59,0.95,1.15,0.43,9.96,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.54
71,R1,841.57,-1.95,665.74,0.00,0.79,2.44,71.70,0.21,8.19,2.17,2.44,71.70,0.21,20.75,4.92,2.44,71.70,0.21,18.08,2.66,1.03,2.95,0.35,3.62,3.02,1.80,45.00,0.35,51.04,1.60,0.95,1.15,0.43,47.96,1.60,0.95,1.15,0.43,10.06,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.09
72,R1,842.10,21.90,664.60,0.00,0.78,2.44,71.70,0.21,8.15,2.16,2.44,71.70,0.21,32.62,3.01,2.44,71.70,0.21,7.94,2.44,1.03,2.95,0.35,58.00,1.60,0.95,1.15,0.43,47.85,1.59,0.95,1.15,0.43,9.99,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.46
73,R1,842.32,34.39,664.60,0.00,0.78,2.44,71.70,0.21,8.15,2.16,2.44,71.70,0.21,32.61,3.01,2.44,71.70,0.21,7.93,2.52,1.03,2.95,0.35,58.13,1.60,0.95,1.15,0.43,47.84,1.59,0.95,1.15,0.43,9.98,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.86
74,R1,842.42,53.70,666.87,0.00,0.79,2.44,71.70,0.21,8.20,2.18,2.44,71.70,0.21,32.79,3.02,2.44,71.70,0.21,7.98,2.66,1.03,2.95,0.35,58.96,1.60,0.95,1.15,0.43,47.99,1.60,0.95,1.15,0.43,10.07,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.96
75,R1,842.85,78.68,666.87,0.00,0.78,2.44,71.70,0.21,8.19,2.17,2.44,71.70,0.21,32.76,3.02,2.44,71.70,0.21,7.97,2.66,1.03,2.95,0.35,3.62,3.02,1.80,45.00,0.35,52.75,1.60,0.95,1.15,0.43,47.96,1.60,0.95,1.15,0.43,10.06,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.94
76,R1,845.64,6.00,628.26,0.00,0.71,2.44,71.70,0.21,7.42,1.97,2.44,71.70,0.21,19.84,2.74,2.44,71.70,0.21,68.16,1.53,0.95,1.15,0.43,45.65,1.52,0.95,1.15,0.43,8.66,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00
77,R1,838.66,-72.36,681.64,0.00,0.82,2.44,71.70,0.21,8.61,2.29,2.44,71.70,0.21,34.44,3.17,2.44,71.70,0.21,8.38,2.79,1.03,2.95,0.35,3.81,3.17,1.80,45.00,0.35,53.95,1.65,0.95,1.15,0.43,49.34,1.64,0.95,1.15,0.43,10.90,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.99
78,R1,838.92,-50.78,682.77,0.00,0.82,2.44,71.70,0.21,8.63,2.29,2.44,71.70,0.21,34.52,3.18,2.44,71.70,0.21,8.40,2.80,1.03,2.95,0.35,3.82,3.18,1.80,45.00,0.35,54.64,1.65,0.95,1.15,0.43,49.40,1.64,0.95,1.15,0.43,10.94,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.62
79,R1,839.30,-29.21,682.77,0.00,0.83,2.44,71.70,0.21,8.62,2.29,2.44,71.70,0.21,34.48,3.18,2.44,71.70,0.21,8.41,2.59,1.80,45.00,0.35,4.00,3.18,1.80,45.00,0.35,55.02,1.65,0.95,1.15,0.43,49.37,1.64,0.95,1.15,0.43,10.93,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.58
80,R1,839.38,-11.04,685.04,0.00,0.83,2.44,71.70,0.21,8.67,2.30,2.44,71.70,0.21,15.51,7.79,2.44,71.70,0.21,11.39,3.20,2.44,71.70,0.21,8.44,2.81,1.03,2.95,0.35,3.84,3.20,1.80,45.00,0.35,55.97,1.65,0.95,1.15,0.43,49.55,1.65,0.95,1.15,0.43,11.03,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.57
81,R1,839.53,11.68,687.31,0.00,0.83,2.44,71.70,0.21,8.72,2.32,2.44,71.70,0.21,14.78,4.15,2.44,71.70,0.21,9.48,9.50,2.44,71.70,0.21,8.68,2.83,1.03,2.95,0.35,3.86,3.22,1.80,45.00,0.35,57.01,1.66,0.95,1.15,0.43,49.72,1.65,0.95,1.15,0.43,11.13,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.97
82,R1,839.94,30.98,686.62,0.00,0.83,2.44,71.70,0.21,8.69,2.31,2.44,71.70,0.21,34.79,3.21,2.44,71.70,0.21,15.14,3.21,1.80,45.00,0.35,57.16,1.65,0.95,1.15,0.43,49.63,1.65,0.95,1.15,0.43,11.08,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.46
83,R1,840.47,51.43,685.04,0.00,0.83,2.44,71.70,0.21,8.64,2.30,2.44,71.70,0.21,34.59,3.19,2.44,71.70,0.21,8.42,2.81,1.03,2.95,0.35,3.83,3.19,1.80,45.00,0.35,57.09,1.65,0.95,1.15,0.43,49.46,1.65,0.95,1.15,0.43,10.98,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.94
84,R1,840.80,70.73,685.04,0.00,0.82,2.44,71.70,0.21,8.64,2.29,2.44,71.70,0.21,34.56,3.19,2.44,71.70,0.21,8.41,2.80,1.03,2.95,0.35,3.82,3.19,1.80,45.00,0.35,57.43,1.65,0.95,1.15,0.43,49.44,1.65,0.95,1.15,0.43,10.96,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.66
85,R1,836.99,-51.92,700.94,0.00,0.87,2.44,71.70,0.21,17.76,3.36,2.44,71.70,0.21,8.46,3.97,2.44,71.70,0.21,14.47,3.36,2.44,71.70,0.21,8.88,2.96,1.03,2.95,0.35,4.04,3.36,1.80,45.00,0.35,59.75,1.70,0.95,1.15,0.43,51.06,1.70,0.95,1.15,0.43,11.96,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.41
86,R1,837.09,-32.61,703.21,0.00,0.88,2.44,71.70,0.21,17.87,3.38,2.44,71.70,0.21,11.68,3.94,2.44,71.70,0.21,11.45,3.38,2.44,71.70,0.21,8.93,2.98,1.03,2.95,0.35,4.06,3.38,1.80,45.00,0.35,60.77,1.71,0.95,1.15,0.43,51.24,1.70,0.95,1.15,0.43,12.07,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.49
87,R1,837.52,-14.44,702.11,0.00,0.87,2.44,71.70,0.21,60.38,2.96,1.03,2.95,0.35,4.04,3.37,1.80,45.00,0.35,60.78,1.70,0.95,1.15,0.43,51.11,1.70,0.95,1.15,0.43,11.99,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.24
88,R1,837.72,3.73,703.21,0.00,0.87,2.44,71.70,0.21,60.52,2.97,1.03,2.95,0.35,4.05,3.38,1.80,45.00,0.35,61.43,1.71,0.95,1.15,0.43,51.18,1.70,0.95,1.15,0.43,12.04,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.89
89,R1,837.92,21.90,704.35,0.00,0.88,2.44,71.70,0.21,58.09,2.58,1.80,45.00,0.35,0.38,2.60,1.03,2.95,0.35,3.39,4.06,1.80,45.00,0.35,62.10,1.71,0.95,1.15,0.43,51.26,1.71,0.95,1.15,0.43,12.09,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.65
90,R1,838.34,45.75,704.35,0.00,0.88,2.44,71.70,0.21,17.85,3.38,2.44,71.70,0.21,13.53,3.95,2.44,71.70,0.21,9.58,3.38,2.44,71.70,0.21,8.93,2.98,1.03,2.95,0.35,4.06,3.38,1.80,45.00,0.35,62.54,1.71,0.95,1.15,0.43,51.22,1.70,0.95,1.15,0.43,12.06,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.58
91,R1,854.82,183.16,570.34,0.00,0.65,2.44,71.70,0.21,6.80,1.81,2.44,71.70,0.21,24.17,2.52,2.44,71.70,0.21,9.66,2.21,1.03,2.95,0.35,15.26,2.51,1.80,45.00,0.35,68.46,1.64,7.85,210.00,0.30,10.77,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.12
92,R1,852.03,171.26,594.97,0.00,0.67,2.44,71.70,0.21,6.70,1.96,2.44,71.70,0.21,28.01,2.57,2.44,71.70,0.21,6.78,2.26,1.03,2.95,0.35,101.19,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.61
93,R1,849.63,159.31,615.77,0.00,0.69,2.44,71.70,0.21,7.21,1.91,2.44,71.70,0.21,28.83,2.66,2.44,71.70,0.21,5.91,2.34,7.85,210.00,0.30,0.10,1.59,7.85,210.00,0.30,104.73,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.46
94,R1,847.54,149.09,633.94,0.00,0.71,2.44,71.70,0.21,7.49,1.99,2.44,71.70,0.21,29.99,2.76,2.44,71.70,0.21,5.95,2.43,7.85,210.00,0.30,0.10,1.66,7.85,210.00,0.30,109.73,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.80
95,R1,843.23,120.70,670.28,0.00,0.79,2.44,71.70,0.21,8.25,2.19,2.44,71.70,0.21,2.19,3.36,2.44,71.70,0.21,5.32,0.47,2.44,71.70,0.21,1.36,1.83,2.44,71.70,0.21,29.59,2.68,1.03,2.95,0.35,62.80,1.93,0.95,1.15,0.43,22.05,5.53,0.95,1.15,0.43,30.33,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.45
96,R1,845.69,125.32,647.64,0.00,0.74,2.44,71.70,0.21,7.76,2.06,2.44,71.70,0.21,31.04,2.86,2.44,71.70,0.21,7.55,2.52,1.03,2.95,0.35,61.34,9.88,0.95,1.15,0.43,42.92,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.65
97,R1,843.10,99.43,668.01,0.00,0.79,2.44,71.70,0.21,8.21,2.18,2.44,71.70,0.21,32.84,3.03,2.44,71.70,0.21,7.99,2.66,1.03,2.95,0.35,3.63,3.03,1.80,45.00,0.35,53.40,1.60,0.95,1.15,0.43,48.03,1.60,0.95,1.15,0.43,10.09,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.67
98,R1,838.65,63.16,704.24,0.00,0.87,2.44,71.70,0.21,17.83,10.13,2.44,71.70,0.21,0.01,3.38,2.44,71.70,0.21,7.33,5.77,2.44,71.70,0.21,3.79,3.38,2.44,71.70,0.21,8.92,2.97,1.03,2.95,0.35,4.05,3.38,1.80,45.00,0.35,62.82,1.71,0.95,1.15,0.43,51.18,1.70,0.95,1.15,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.93
99,R1,839.01,91.17,705.48,0.00,0.88,2.44,71.70,0.21,17.87,3.38,2.44,71.70,0.21,15.25,3.94,2.44,71.70,0.21,7.89,3.38,2.44,71.70,0.21,6.64,2.30,1.80,45.00,0.35,0.55,1.47,1.80,45.00,0.35,0.96,2.71,1.80,45.00,0.35,68.44,1.71,0.95,1.15,0.43,51.25,1.70,0.95,1.15,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.65
100,R1,840.82,92.31,688.45,0.00,0.83,2.44,71.70,0.21,8.72,2.31,2.44,71.70,0.21,34.88,3.21,2.44,71.70,0.21,8.49,2.83,1.03,2.95,0.35,3.86,3.21,1.80,45.00,0.35,58.77,1.66,0.95,1.15,0.43,49.70,1.65,0.95,1.15,0.43,11.13,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.79
101,R1,840.62,115.02,694.13,0.00,0.85,2.44,71.70,0.21,1.31,9.90,2.44,71.70,0.21,6.04,6.51,2.44,71.70,0.21,8.91,3.27,2.44,71.70,0.21,22.60,2.87,1.03,2.95,0.35,3.92,3.27,1.80,45.00,0.35,60.83,1.67,0.95,1.15,0.43,41.52,4.74,0.95,1.15,0.43,16.98,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.88
102,R1,839.49,132.06,707.76,0.00,0.89,2.44,71.70,0.21,1.36,2.45,2.44,71.70,0.21,14.15,3.40,2.44,71.70,0.21,46.66,3.40,1.80,45.00,0.35,132.13,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.45
103,R1,841.58,135.46,688.45,0.00,0.84,2.44,71.70,0.21,8.70,2.31,2.44,71.70,0.21,11.45,1.93,2.44,71.70,0.21,155.04,11.53,7.85,210.00,0.30,0.00,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.95
104,R1,843.76,144.55,669.14,0.00,0.78,2.44,71.70,0.21,8.22,2.18,2.44,71.70,0.21,5.61,17.34,2.44,71.70,0.21,19.41,2.67,1.03,2.95,0.35,0.16,2.64,7.85,210.00,0.30,121.31,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.62
105,R1,845.18,143.41,655.52,0.00,0.76,2.44,71.70,0.21,7.92,2.10,2.44,71.70,0.21,16.87,5.34,2.44,71.70,0.21,9.46,2.92,2.44,71.70,0.21,6.17,2.57,7.85,210.00,0.30,0.00,1.75,7.85,210.00,0.30,117.03,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.96
