S. No,Point_ID,Type,Point X,Point Y, Point Z,Thickness_1,ComponentName_1,MaterialID_1,P1_1,P2_1,P3_1,Distance_1,Thickness_2,ComponentName_2,MaterialID_2,P1_2,P2_2,P3_2,Distance_2,Thickness_3,ComponentName_3,MaterialID_3,P1_3,P2_3,P3_3,Distance_3,Thickness_4,ComponentName_4,MaterialID_4,P1_4,P2_4,P3_4,Distance_4,Thickness_5,ComponentName_5,MaterialID_5,P1_5,P2_5,P3_5,Distance_5,Thickness_6,ComponentName_6,MaterialID_6,P1_6,P2_6,P3_6,Distance_6,Thickness_7,ComponentName_7,MaterialID_7,P1_7,P2_7,P3_7,Distance_7,Thickness_8,ComponentName_8,MaterialID_8,P1_8,P2_8,P3_8,Distance_8,Thickness_9,ComponentName_9,MaterialID_9,P1_9,P2_9,P3_9,Distance_9,Thickness_10,ComponentName_10,MaterialID_10,P1_10,P2_10,P3_10,Distance_10,Thickness_11,ComponentName_11,MaterialID_11,P1_11,P2_11,P3_11,Distance_11,Thickness_12,ComponentName_12,MaterialID_12,P1_12,P2_12,P3_12,Distance_12,Thickness_13,ComponentName_13,MaterialID_13,P1_13,P2_13,P3_13,Distance_13,Thickness_14,ComponentName_14,MaterialID_14,P1_14,P2_14,P3_14,Distance_14,Thickness_15,ComponentName_15,MaterialID_15,P1_15,P2_15,P3_15,Distance_15,Thickness_16,ComponentName_16,MaterialID_16,P1_16,P2_16,P3_16,Distance_16,Thickness_17,ComponentName_17,MaterialID_17,P1_17,P2_17,P3_17,Distance_17,Thickness_18,ComponentName_18,MaterialID_18,P1_18,P2_18,P3_18,Distance_18,Thickness_19,ComponentName_19,MaterialID_19,P1_19,P2_19,P3_19,Distance_19,A3MS
100,P100,R1,1043.27,154.02,533.06,0.760295444,SCREEN_2,43307,9.70E-08,0.4,0.4,2.29E-12,1.030777593,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.370465664,6.559493775,INNER_SCREEN,46064,1.81E-06,44.8,0.35,6.735194501,3.514014522,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,17.47820826,3.371611247,REAR_BRACKET,46072,1.85E-06,24,0.136,52.17557218,2.519660594,A2146801901_600,46101,1.05E-06,3.1,0.32,3.41E-13,0,A2146801901_595,46014,9.50E-07,1.15,0.43,7.558981781,0,A2146801901_595,46014,9.50E-07,1.15,0.43,40.16885287,4.112195123,A2146802402_4,46064,1.81E-06,44.8,0.35,3.27E-13,2.729859953,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5578
101,P101,R1,993.38,177.39,596.17,0.547458243,INNER_SUPPORT_BRACKET,46032,2.70E-06,70,0.3,0.100674399,0,INNER_SUPPORT_BRACKET,46032,2.70E-06,70,0.3,0.302023196,7.2485567,INNER_SCREEN,46064,1.81E-06,44.8,0.35,7.751928694,3.020231959,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,14.0772396,2.000291412,REAR_BRACKET,46072,1.85E-06,24,0.136,26.18877713,3.310351898,A2146801901_600,46101,1.05E-06,3.1,0.32,63.22033797,2.790671537,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.1995
102,P102,R1,1009.45,178.35,576.02,0.569686533,INNER_SUPPORT_BRACKET,46032,2.70E-06,70,0.3,0.103874916,1.14E-13,SCREEN_2,43307,9.70E-08,0.4,0.4,9.71E-13,7.790618717,INNER_SCREEN,46064,1.81E-06,44.8,0.35,7.998368549,3.116247487,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,8.309993298,2.077498324,REAR_BRACKET,46072,1.85E-06,24,0.136,33.0581618,2.598921391,A2146801901_600,46101,1.05E-06,3.1,0.32,62.80537492,4.468406122,A2146802402_4,46064,1.81E-06,44.8,0.35,1.83E-12,2.801836862,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.911
103,P103,R1,1021.72,175.8,560.56,0.591008909,INNER_SUPPORT_BRACKET,46032,2.70E-06,70,0.3,0.108002689,0,INNER_SUPPORT_BRACKET,46032,2.70E-06,70,0.3,1.490437114,6.609764593,INNER_SCREEN,46064,1.81E-06,44.8,0.35,8.316207086,3.240080683,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,15.12037652,2.160053803,REAR_BRACKET,46072,1.85E-06,24,0.136,39.35123852,2.739129111,A2146801901_600,46101,1.05E-06,3.1,0.32,58.55664242,2.799066327,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8471
104,P104,R1,1042.39,192.51,534.95,0.646600501,INNER_SUPPORT_BRACKET,46032,2.70E-06,70,0.3,0.118021855,0,INNER_SUPPORT_BRACKET,46032,2.70E-06,70,0.3,17.93932198,3.540655655,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,16.52305972,2.36043711,REAR_BRACKET,46072,1.85E-06,24,0.136,14.16262261,2.950546379,A2146801901_600,46101,1.05E-06,3.1,0.32,101.2031637,2.85302358,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4221
105,P105,R1,1021.91,148.45,559.77,0.70341234,SCREEN_2,43307,9.70E-08,0.4,0.4,2.12E-12,0.949266021,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.262092324,6.040783771,INNER_SCREEN,46064,1.81E-06,44.8,0.35,6.20259048,3.751403005,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,16.52837109,2.157422792,REAR_BRACKET,46072,1.85E-06,24,0.136,36.36926716,2.607693167,A2146801901_600,46101,1.05E-06,3.1,0.32,3.41E-13,0,A2146801901_595,46014,9.50E-07,1.15,0.43,2.607693167,0,A2146801901_595,46014,9.50E-07,1.15,0.43,51.23576027,2.707331065,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.2612
106,P106,R1,1015.71,152.98,567.64,0.680631724,SCREEN_2,43307,9.70E-08,0.4,0.4,1.94E-12,0.924878816,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.229668426,5.885592466,INNER_SCREEN,46064,1.81E-06,44.8,0.35,6.043242264,3.152995964,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,16.45791376,2.249862307,REAR_BRACKET,46072,1.85E-06,24,0.136,32.51806051,2.671258161,A2146801901_600,46101,1.05E-06,3.1,0.32,56.25808191,2.728446087,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6696
107,P107,R1,1019.05,210.73,564.64,0.703035579,INNER_SCREEN,46064,1.81E-06,44.8,0.35,4.69E-13,0.943757393,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.254768353,7.292670768,INNER_SCREEN,46064,1.81E-06,44.8,0.35,5.030016356,0.010724516,PCB_RIGHTSCREEN,46079,1.28E-06,4.5,0.36,1.769326683,3.421477728,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,14.81019919,2.144903181,REAR_BRACKET,46072,1.85E-06,24,0.136,26.96249269,3.344618259,A2146801901_600,46101,1.05E-06,3.1,0.32,82.95179463,2.902091217,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5443
108,P108,R1,1031.63,219.51,549.02,0.729486849,INNER_SCREEN,46064,1.81E-06,44.8,0.35,4.69E-13,0.983382089,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.307451187,7.151869739,INNER_SCREEN,46064,1.81E-06,44.8,0.35,5.688199003,0.011174796,PCB_RIGHTSCREEN,46079,1.28E-06,4.5,0.36,1.845035828,4.257457663,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,14.73827432,2.234959303,REAR_BRACKET,46072,1.85E-06,24,0.136,13.40975576,2.793699117,A2146801901_600,46101,1.05E-06,3.1,0.32,107.7030388,2.932056298,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0014
109,P109,R1,1001.85,236.08,586.74,0.664755154,INNER_SCREEN,46064,1.81E-06,44.8,0.35,2.54E-13,0.904615424,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.202727325,6.990210094,INNER_SCREEN,46064,1.81E-06,44.8,0.35,4.821398391,0.010279721,PCB_RIGHTSCREEN,46079,1.28E-06,4.5,0.36,1.69594455,3.083916218,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,14.39160902,2.055944163,REAR_BRACKET,46072,1.85E-06,24,0.136,118.6855465,2.879079377,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3179
110,P110,R1,1019.16,241.35,565.12,0.699247192,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.61E-13,0.945870643,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.257578014,6.879059221,INNER_SCREEN,46064,1.81E-06,44.8,0.35,0.171980429,0.537576579,INNER_SCREEN,46064,1.81E-06,44.8,0.35,0.698276816,1.042834972,INNER_SCREEN,46064,1.81E-06,44.8,0.35,3.02055191,0.01074853,PCB_RIGHTSCREEN,46079,1.28E-06,4.5,0.36,1.773288537,3.22455901,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,45.03504665,2.688426703,A2146801901_600,46101,1.05E-06,3.1,0.32,97.05696061,2.870886089,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.2656
111,P111,R1,1029.59,244.09,552.08,0.719814654,INNER_SCREEN,46064,1.81E-06,44.8,0.35,2.54E-13,0.974050199,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.295044014,7.084001445,INNER_SCREEN,46064,1.81E-06,44.8,0.35,0.177104102,0.55509483,INNER_SCREEN,46064,1.81E-06,44.8,0.35,4.902021408,0.011068752,PCB_RIGHTSCREEN,46079,1.28E-06,4.5,0.36,5.754353392,4.826914199,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,10.06172993,2.21375046,REAR_BRACKET,46072,1.85E-06,24,0.136,13.2825027,2.767188064,A2146801901_600,46101,1.05E-06,3.1,0.32,118.289009,2.867081379,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.2395
112,P112,R1,1004.12,207.16,583.3,0.665891664,INNER_SCREEN,46064,1.81E-06,44.8,0.35,2.54E-13,0.904841562,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.203027985,11.81456118,PCB_RIGHTSCREEN,46079,1.28E-06,4.5,0.36,0.01028229,9.984041627,INNER_SCREEN,46064,1.81E-06,44.8,0.35,117.5134101,2.873685961,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4937
113,P113,R1,1027.12,194.51,554.16,0.597466665,INNER_SUPPORT_BRACKET,46032,2.70E-06,70,0.3,0.109492092,0,INNER_SUPPORT_BRACKET,46032,2.70E-06,70,0.3,1.63E-12,8.997764021,INNER_SCREEN,46064,1.81E-06,44.8,0.35,0.692286139,0.054746046,INNER_SCREEN,46064,1.81E-06,44.8,0.35,6.898001809,3.284762766,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,15.32889291,2.189841856,REAR_BRACKET,46072,1.85E-06,24,0.136,13.13905106,2.737302305,A2146801901_600,46101,1.05E-06,3.1,0.32,94.66042293,2.856700139,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0041
114,P114,R1,990.51,223.15,600.72,0.554281515,INNER_SUPPORT_BRACKET,46032,2.70E-06,70,0.3,0.100684224,0,INNER_SUPPORT_BRACKET,46032,2.70E-06,70,0.3,17.06992672,6.608245585,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,20.69970668,2.944477202,A2146801901_600,46101,1.05E-06,3.1,0.32,7.651700939,2.61932544,A2146801901_600,46101,1.05E-06,3.1,0.32,87.30808749,2.885370391,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.2846
