x,y,z,Thickness_r1_1,r1P2_1,r1P3_1,Distance_r1_1,Thickness_r1_2,r1P2_2,r1P3_2,Distance_r1_2,Thickness_r1_3,r1P2_3,r1P3_3,Distance_r1_3,Thickness_r1_4,r1P2_4,r1P3_4,Distance_r1_4,Thickness_r1_5,r1P2_5,r1P3_5,Distance_r1_5,Thickness_r1_6,r1P2_6,r1P3_6,Distance_r1_6,Thickness_r1_7,r1P2_7,r1P3_7,Distance_r1_7,Thickness_r1_8,r1P2_8,r1P3_8,Distance_r1_8,Thickness_r1_9,r1P2_9,r1P3_9,Distance_r1_9,Thickness_r1_10,r1P2_10,r1P3_10,Distance_r1_10,Thickness_r2_1,r2P2_1,r2P3_1,Distance_r2_1,Thickness_r2_2,r2P2_2,r2P3_2,Distance_r2_2,Thickness_r2_3,r2P2_3,r2P3_3,Distance_r2_3,Thickness_r2_4,r2P2_4,r2P3_4,Distance_r2_4,Thickness_r2_5,r2P2_5,r2P3_5,Distance_r2_5,Thickness_r2_6,r2P2_6,r2P3_6,Distance_r2_6,Thickness_r2_7,r2P2_7,r2P3_7,Distance_r2_7,Thickness_r2_8,r2P2_8,r2P3_8,Distance_r2_8,Thickness_r2_9,r2P2_9,r2P3_9,Distance_r2_9,Thickness_r2_10,r2P2_10,r2P3_10,Distance_r2_10,A3MS
856.06,144.55,552.17,0.65,71.7,0.21,6.78,5.5,71.7,0.21,5.23,7,71.7,0.21,0.5,4,71.7,0.21,15.81,2.2,2.95,0.35,3,2.5,45,0.35,72.94,4.73,210,0.3,14.43,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.26,71.7,0.21,13.11,3.48,71.7,0.21,9.47,2.58,71.7,0.21,8.2,2.91,71.7,0.21,9.39,2.83,2.4,0.4,11.36,3.39,2.95,0.35,16.59,8.05,2.4,0.4,2.3,2.21,2.4,0.4,6.05,1.97,2.4,0.4,56.21,3.51,2.95,0.35,31.12,40.07
850.48,-79.18,568.07,0.65,71.7,0.21,6.8,1.81,71.7,0.21,27.2,2.51,71.7,0.21,11.83,2.51,45,0.35,33.91,1.5,1.15,0.43,42.91,1.52,1.15,0.43,8.63,1.5,210,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,71.7,0.21,12.65,3.36,71.7,0.21,0.65,2.71,71.7,0.21,12.36,4,71.7,0.21,15.57,2.69,71.7,0.21,14.8,2.46,2.95,0.35,15.56,2.34,2.4,0.4,0.7,4.71,2.4,0.4,29.46,3.16,2.4,0.4,17.98,2.54,2.4,0.4,0,43.71
850.64,-56.46,570.34,0.65,71.7,0.21,6.81,1.81,71.7,0.21,28.7,2.3,71.7,0.21,47.53,1.5,1.15,0.43,42.98,1.52,1.15,0.43,8.57,1.5,210,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,71.7,0.21,12.59,3.34,71.7,0.21,17.17,2.67,71.7,0.21,18.04,2.71,71.7,0.21,14.91,2.46,2.95,0.35,15.76,2.35,2.4,0.4,0.7,4.72,2.4,0.4,29.05,3.12,2.4,0.4,17.8,2.53,2.4,0.4,0,0,0,0,0,50.9
850.92,-33.75,571.48,0.65,71.7,0.21,6.81,1.81,71.7,0.21,27.25,2.51,71.7,0.21,11.86,2.51,45,0.35,34.88,1.5,1.15,0.43,43.01,1.52,1.15,0.43,8.54,1.5,210,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,71.7,0.21,12.56,3.33,71.7,0.21,18.09,2.51,71.7,0.21,18.61,2.73,71.7,0.21,14.95,2.46,2.95,0.35,14.18,0.59,210,0.3,0.06,3.38,2.4,0.4,0.71,4.72,2.4,0.4,28.82,3.11,2.4,0.4,17.71,13.23,2.4,0.4,0,51.42
851.16,-13.31,572.61,0.66,71.7,0.21,6.81,1.81,71.7,0.21,27.27,2.51,71.7,0.21,6.64,2.21,2.95,0.35,3.02,2.51,45,0.35,35.3,1.5,1.15,0.43,43.05,1.52,1.15,0.43,8.51,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.21,71.7,0.21,12.52,3.33,71.7,0.21,19.11,2.56,71.7,0.21,18.84,2.74,71.7,0.21,14.99,2.46,2.95,0.35,15.96,2.35,2.4,0.4,0.71,4.78,2.4,0.4,1.14,3.8,2.4,0.4,18.07,14.92,2.4,0.4,0,12.04,2.4,0.4,0,48.29
851.57,3.73,571.48,0.65,71.7,0.21,6.81,1.81,71.7,0.21,27.25,2.51,71.7,0.21,6.63,2.21,2.95,0.35,3.01,2.51,45,0.35,35.65,1.65,1.15,0.43,42.74,1.52,1.15,0.43,8.54,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.2,71.7,0.21,12.56,3.33,71.7,0.21,18.1,2.51,71.7,0.21,18.62,2.73,71.7,0.21,14.94,2.46,2.95,0.35,41.95,2.9,210,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.22
851.87,27.58,572.61,0.65,71.7,0.21,6.81,1.81,71.7,0.21,27.26,2.51,71.7,0.21,11.86,2.51,45,0.35,36,1.5,1.15,0.43,43.05,1.52,1.15,0.43,8.52,1.5,210,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,71.7,0.21,12.52,3.33,71.7,0.21,19.12,2.56,71.7,0.21,18.84,2.74,71.7,0.21,15,2.46,2.95,0.35,15.96,2.35,2.4,0.4,0.71,4.73,2.4,0.4,28.45,3.08,2.4,0.4,17.75,2.52,2.4,0.4,0.24,3.58,2.4,0.4,0,49.34
852.11,48.02,573.75,0.66,71.7,0.21,6.82,1.81,71.7,0.21,12.19,17.6,71.7,0.21,50.81,1.5,1.15,0.43,43.08,1.51,1.15,0.43,8.49,1.5,210,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,71.7,0.21,12.49,3.32,71.7,0.21,20.27,2.75,71.7,0.21,18.8,2.65,71.7,0.21,15.16,2.47,2.95,0.35,16.06,2.35,2.4,0.4,0.71,3.03,2.4,0.4,1.14,0.57,2.4,0.4,28.16,3.07,2.4,0.4,17.68,2.52,2.4,0.4,0,49.6
852.69,67.85,571.47,0.65,71.7,0.21,6.81,1.81,71.7,0.21,27.24,2.51,71.7,0.21,11.85,2.51,45,0.35,36.63,1.5,1.15,0.43,43,1.52,1.15,0.43,8.55,1.5,210,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,71.7,0.21,12.56,3.33,71.7,0.21,18.09,2.51,71.7,0.21,18.58,2.73,71.7,0.21,14.98,2.46,2.95,0.35,15.86,2.35,2.4,0.4,0.71,4.72,2.4,0.4,28.73,3.09,2.4,0.4,17.81,2.53,2.4,0.4,0,0,0,0,0,47.24
852.86,91.17,573.75,0.65,71.7,0.21,6.82,1.81,71.7,0.21,27.28,2.51,71.7,0.21,6.64,2.21,2.95,0.35,3.02,2.51,45,0.35,37.17,1.5,1.15,0.43,43.08,1.51,1.15,0.43,8.5,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.2,71.7,0.21,12.49,3.32,71.7,0.21,22.34,4.61,71.7,0.21,4.63,4.58,71.7,0.21,0,4.61,71.7,0.21,0.55,3.15,71.7,0.21,15.17,2.47,2.95,0.35,16.06,2.35,2.4,0.4,0.71,3.02,2.4,0.4,1.14,0.57,2.4,0.4,28.16,45.03
853.58,111.62,570.34,0.66,71.7,0.21,6.8,1.81,71.7,0.21,27.22,2.51,71.7,0.21,6.62,2.21,2.95,0.35,3.01,2.51,45,0.35,37.32,1.5,1.15,0.43,42.73,1.55,1.15,0.43,8.79,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.21,71.7,0.21,12.59,4.8,71.7,0.21,15.71,2.67,71.7,0.21,17.94,2.71,71.7,0.21,15.01,2.46,2.95,0.35,13.22,1.09,210,0.3,0.56,3.24,2.4,0.4,0.7,4.72,2.4,0.4,28.98,3.11,2.4,0.4,17.89,2.53,2.4,0.4,0,45.4
853.48,133.71,574.88,0.65,71.7,0.21,6.82,1.81,71.7,0.21,19.81,4.49,71.7,0.21,11.36,2.52,2.95,0.35,3.5,2.52,45,0.35,92.57,1.5,210,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,71.7,0.21,12.46,3.31,71.7,0.21,21.56,2.83,71.7,0.21,18.6,1.37,71.7,0.21,16.65,2.47,2.95,0.35,16.16,2.36,2.4,0.4,1.72,0.27,2.4,0.4,1.13,3.78,2.4,0.4,31.38,13.44,2.4,0.4,0,0,0,0,0,45.54
853.85,154.77,574.88,0.65,71.7,0.21,6.82,1.81,71.7,0.21,14.16,7.69,71.7,0.21,14.1,2.25,2.95,0.35,3.49,2.52,45,0.35,45.58,8.14,210,0.3,39.21,1.5,210,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,71.7,0.21,12.46,3.31,71.7,0.21,0.46,2.54,71.7,0.21,13.4,0.35,71.7,0.21,4.8,2.83,71.7,0.21,18.52,1.46,71.7,0.21,22.24,4.1,2.95,0.35,76.92,23.42,2.95,0.35,6.8,3.24,2.95,0.35,26.85,7.32,2.95,0.35,47.99,44.87
855.86,167.26,557.85,0.65,71.7,0.21,2.92,5.39,71.7,0.21,22.23,2.55,71.7,0.21,11.72,2.2,2.95,0.35,3.02,2.51,45,0.35,92.43,1.5,210,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,71.7,0.21,5.57,10.27,71.7,0.21,14.34,2.57,71.7,0.21,7.95,2.5,71.7,0.21,37.77,3.33,2.4,0.4,109.47,2.5,3.1,0.32,20.34,5.59,3.1,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,44.63
847.74,-79.18,594.19,0.67,71.7,0.21,6.97,1.85,71.7,0.21,27.88,2.57,71.7,0.21,12.13,2.57,45,0.35,35.93,1.51,1.15,0.43,44.02,1.5,1.15,0.43,8.22,1.5,210,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,71.7,0.21,11.96,3.18,71.7,0.21,42.75,2.52,71.7,0.21,18.65,3.88,2.95,0.35,27.19,1.82,1.15,0.43,1.69,4.97,2.4,0.4,3.18,3.1,2.4,0.4,23.01,3.03,2.4,0.4,16.89,6.38,2.4,0.4,0,0,0,0,0,42.64
847.68,-62.14,597.6,0.67,71.7,0.21,7,1.86,71.7,0.21,28.02,2.58,71.7,0.21,6.82,2.27,2.95,0.35,3.1,2.58,45,0.35,36.61,1.51,1.15,0.43,44.18,1.5,1.15,0.43,8.22,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.14,71.7,0.21,11.88,3.15,71.7,0.21,45.98,2.51,71.7,0.21,14.97,3.85,2.95,0.35,31.14,1.19,1.15,0.43,1.83,6.61,2.4,0.4,0.83,3.09,2.4,0.4,23.19,3.06,2.4,0.4,16.92,2.68,2.4,0.4,0,3.37,1.15,0.43,1.51,43.36
848.39,-41.7,594.19,0.67,71.7,0.21,6.97,1.85,71.7,0.21,27.87,2.57,71.7,0.21,12.13,2.57,45,0.35,36.57,1.51,1.15,0.43,44.01,1.5,1.15,0.43,8.22,1.5,210,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,71.7,0.21,11.96,3.18,71.7,0.21,42.75,2.52,71.7,0.21,18.64,3.88,2.95,0.35,27.2,1.82,1.15,0.43,1.68,4.97,2.4,0.4,0,6.27,2.4,0.4,23.01,3.03,2.4,0.4,16.89,6.38,2.4,0.4,0,0,0,0,0,45.61
848.79,-18.99,594.19,0.67,71.7,0.21,6.96,1.85,71.7,0.21,27.87,2.57,71.7,0.21,12.12,2.57,45,0.35,36.97,1.51,1.15,0.43,44,1.5,1.15,0.43,8.22,1.5,210,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,71.7,0.21,11.96,3.18,71.7,0.21,42.75,2.52,71.7,0.21,18.65,3.88,2.95,0.35,27.19,1.82,1.15,0.43,1.69,4.97,2.4,0.4,3.18,3.1,2.4,0.4,23.01,3.03,2.4,0.4,16.89,6.38,2.4,0.4,0,0,0,0,0,45.52
849.11,6,595.32,0.67,71.7,0.21,6.97,1.85,71.7,0.21,27.91,2.57,71.7,0.21,6.79,2.26,2.95,0.35,3.09,2.57,45,0.35,37.52,1.51,1.15,0.43,44.05,1.5,1.15,0.43,8.22,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.15,71.7,0.21,11.93,3.17,71.7,0.21,43.82,2.52,71.7,0.21,17.43,3.87,2.95,0.35,28.86,1.82,1.15,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.31
